,title,description,release_year,age_certification,runtime,genres,seasons,imdb_score,imdb_votes,name,character,role
149,Monty Python's Flying Circus,"A British sketch comedy series with the shows being composed of surreality, risqué or innuendo-laden humour, sight gags and observational sketches without punchlines.",1969,TV-14,30,"['comedy', 'european']",4.0,8.8,72895.0,Graham Chapman,Various,ACTOR
599,Monty Python's Fliegender Zirkus,"Monty Python's Fliegender Zirkus consisted of two 45-minute Monty Python German television comedy specials produced by WDR for West German television. The two episodes were first broadcast in January and December 1972 and were shot entirely on film and mostly on location in Bavaria, with the first episode recorded in German and the second recorded in English and then dubbed into German.",1972,TV-MA,43,['comedy'],1.0,8.1,2144.0,Graham Chapman,Various Characters,ACTOR
760,Seinfeld,A stand-up comedian and his three offbeat friends weather the pitfalls and payoffs of life in New York City in the '90s. It's a show about nothing.,1989,TV-PG,24,['comedy'],9.0,8.9,302700.0,Jerry Seinfeld,Jerry Seinfeld,ACTOR
1043,Knight Rider,"Michael Long, an undercover police officer, is shot while investigating a case and left for dead by his assailants. He is rescued by Wilton Knight, a wealthy, dying millionaire and inventor who arranges life-saving surgery, including a new face and a new identity--that of Michael Knight. Michael is then given a special computerized and indestructible car called the Knight Industries Two Thousand (nicknamed KITT), and a mission: apprehend criminals who are beyond the reach of the law. The series depicts Michael's exploits as he and KITT battle the forces of evil on behalf of the Foundation for Law and Government.",1982,TV-PG,51,"['action', 'scifi', 'crime', 'drama']",4.0,6.9,33760.0,David Hasselhoff,Michael Knight,ACTOR
1109,Thomas & Friends,"Thomas & Friends is a British children's television series, which had its first broadcast on the ITV network on 4 September 1984. It is based on The Railway Series of books by the Reverend Wilbert Awdry and his son, Christopher Awdry. These books deal with the adventures of a group of anthropomorphised locomotives and road vehicles who live on the fictional Island of Sodor. The books were based on stories Wilbert told to entertain his son, Christopher during his recovery from measles. From Series one to four, many of the stories are based on events from Awdry's personal experience.",1984,TV-Y,10,"['family', 'comedy', 'music', 'action', 'animation', 'fantasy', 'drama']",24.0,6.5,4948.0,Rachael Louise Miller,,ACTOR
1199,Saved by the Bell,"Lovable schemer Zack Morris leads his pals on adventures at California's Bayside High School. The friends navigate relationships, final exams, school dances, breakups and more while frequently frustrating their principal, Mr. Richard Belding, who does his best to keep them in check.",1989,TV-G,23,"['comedy', 'romance', 'family']",5.0,7.1,34854.0,Mark-Paul Gosselaar,Zack Morris,ACTOR
1265,Wheel of Fortune,"This game show sees contestants solve word puzzles, similar to those used in Hangman, to win cash and prizes determined by spinning a giant carnival wheel.",1983,TV-G,26,['family'],39.0,6.7,3126.0,Vanna White,Co-Host,ACTOR
1267,Major Dad,"Major Dad is an American sitcom created by Richard C. Okie and John G. Stephens, developed by Earl Pomerantz, that originally ran from 1989 to 1993 on CBS, starring Gerald McRaney as Major John D. MacGillis and Shanna Reed as his wife Polly. The cast also includes Beverly Archer, Matt Mulhern, Jon Cypher, Marisa Ryan, Nicole Dubuc and Chelsea Hertford.",1989,TV-PG,24,"['comedy', 'family']",4.0,6.4,2866.0,Gerald McRaney,Major John D. MacGillis,ACTOR
1275,Fireman Sam,"Follow the adventures of fireman Sam and his colleagues as they protect the citizens of the Welsh town of Pontypandy. Whenever the alarm sounds, brave Sam and his co-workers can be counted on to jump into a fire engine, hop onto a helicopter, or even launch an inflatable lifeboat to battle blazes, mount rescue missions, or provide medical attention to those in need.",1987,TV-Y,10,"['comedy', 'animation', 'family', 'crime', 'european']",13.0,6.1,1759.0,Steven Kynman,Sam / Elvis / Norman / Derek / Charlie / Jerry Lee (voice),ACTOR
1286,Danger Mouse,"Danger Mouse, the world's greatest secret agent, and his side-kick Penfold work to foil the evil schemes of Baron Greenback.",1981,TV-Y,15,"['comedy', 'family', 'scifi', 'animation', 'european']",10.0,7.4,3514.0,David Jason,Danger Mouse / Narrator (voice),ACTOR
1668,High Risk,"High Risk is a program aired by the CBS television network as part of its 1988 fall lineup.

The genesis of High Risk was a 1988 strike by members of both the Writers Guild of America, East and Writers Guild of America, west against the Alliance of Motion Picture and Television Producers. Unable to produce regular, scripted series, programs such as High Risk were put together to serve as replacements under fear of a two-year lockout.

The CBS 100% in-house production featured ""high-risk"" stunts and jobs such as Border Patrol agent, automobile repo men, cave explorers, and thrilling roller-coaster testers.

Intended as a two-year commitment, strike or no strike, High Risk received unanimous condemnations and was cancelled after being presented for one night. The show was hosted by Wayne Rogers.",1988,TV-PG,50,['comedy'],1.0,3.8,6.0,Wayne Rogers,,ACTOR
1759,Survivor,"A reality show contest where sixteen or more castaways split between two or more “Tribes” are taken to a remote isolated location and are forced to live off the land with meager supplies for roughly 39 days. Frequent physical challenges are used to pit the tribes against each other for rewards, such as food or luxuries, or for “Immunity”, forcing the other tribe to attend “Tribal Council”, where they must vote off one of their players.",2000,TV-PG,48,['reality'],42.0,7.4,24368.0,Jeff Probst,Himself - Host,ACTOR
1760,Stargate SG-1,"The story of Stargate SG-1 begins about a year after the events of the feature film, when the United States government learns that an ancient alien device called the Stargate can access a network of such devices on a multitude of planets. SG-1 is an elite Air Force special operations team, one of more than two dozen teams from Earth who explore the galaxy and defend against alien threats such as the Goa'uld, Replicators, and the Ori.",1997,TV-PG,44,"['scifi', 'drama', 'action']",10.0,8.4,90196.0,Ben Browder,Cameron Mitchell,ACTOR
1766,Pokémon,"Join Ash accompanied by his partner Pikachu, as he travels through many regions, meets new friends and faces new challenges on his quest to become a Pokémon Master.",1997,TV-Y7,22,"['scifi', 'action', 'comedy', 'fantasy', 'animation', 'family']",24.0,7.6,172.0,Rica Matsumoto,Satoshi (voice),ACTOR
1871,One Piece,"Years ago, the fearsome Pirate King, Gol D. Roger was executed leaving a huge pile of treasure and the famous ""One Piece"" behind. Whoever claims the ""One Piece"" will be named the new King of the Pirates. Monkey D. Luffy, a boy who consumed a ""Devil Fruit,"" decides to follow in the footsteps of his idol, the pirate Shanks, and find the One Piece. It helps, of course, that his body has the properties of rubber and that he's surrounded by a bevy of skilled fighters and thieves to help him along the way. Luffy will do anything to get the One Piece and become King of the Pirates!",1999,TV-14,23,"['action', 'comedy', 'animation', 'drama', 'fantasy']",21.0,8.8,112586.0,Mayumi Tanaka,Monkey D. Luffy (voice),ACTOR
1965,Cowboy Bebop,"In 2071, roughly fifty years after an accident with a hyperspace gateway made the Earth almost uninhabitable, humanity has colonized most of the rocky planets and moons of the Solar System. Amid a rising crime rate, the Inter Solar System Police (ISSP) set up a legalized contract system, in which registered bounty hunters (also referred to as ""Cowboys"") chase criminals and bring them in alive in return for a reward.",1998,TV-14,25,"['western', 'action', 'scifi', 'thriller', 'animation', 'comedy', 'drama']",1.0,8.9,112887.0,Koichi Yamadera,Spike Spiegel / Ein (voice),ACTOR
1969,Star Trek: Deep Space Nine,"At Deep Space Nine, a space station located next to a wormhole in the vicinity of the liberated planet of Bajor, Commander Sisko and crew welcome alien visitors, root out evildoers and solve all types of unexpected problems that come their way.",1993,TV-PG,47,"['scifi', 'action', 'drama']",7.0,8.1,61145.0,Avery Brooks,Benjamin Sisko,ACTOR
1979,The Challenge,"Each Challenge pits numerous cast members from past seasons of reality shows against each other, dividing them into two separate teams according to different criteria, such as gender, which show they first appeared on, whether or not they're veterans or rookies on the show, etc. The two teams compete in numerous missions in order to win prizes and advance in the overall game.",1998,TV-14,40,"['reality', 'comedy', 'drama', 'scifi']",37.0,7.8,3274.0,T.J. Lavin,Self - Host,ACTOR
2012,Gilmore Girls,"Set in the charming town of Stars Hollow, Connecticut, the series follows the captivating lives of Lorelai and Rory Gilmore, a mother/daughter pair who have a relationship most people only dream of.",2000,TV-14,46,"['comedy', 'drama']",8.0,8.2,119054.0,Lauren Graham,Lorelai Gilmore,ACTOR
2181,Neon Genesis Evangelion,"At the turn of the century, the Angels returned to Earth, seeking to wipe out humanity in an apocalyptic fury. Devastated, mankind's last remnants moved underground to wait for the day when the Angels would come back to finish the job. Fifteen years later, that day has come... but this time, humanity is ready to fight back with terrifying bio-mechanical weapons known as the Evangelions. Watch as Shinji, Rei, Asuka and the rest of the mysterious shadow agency Nerv battle to save earth from total annihilation.",1995,TV-14,24,"['scifi', 'action', 'drama', 'thriller', 'fantasy', 'animation']",1.0,8.5,64727.0,Megumi Ogata,Shinji Ikari (voice),ACTOR
2189,The Magic School Bus,An eccentric schoolteacher takes her class on wondrous educational field trips with the help of a magical school bus.,1994,TV-Y,26,"['scifi', 'comedy', 'family', 'fantasy', 'animation']",4.0,7.8,9708.0,Daniel DeSanto,,ACTOR
2266,Power Rangers,"A team of teenagers with attitude are recruited to save Angel Grove from the evil witch, Rita Repulsa, and later, Lord Zedd, Emperor of all he sees, and their horde of monsters.",1993,TV-Y7,22,"['scifi', 'action', 'fantasy', 'family']",29.0,6.5,21949.0,Russell Curry,Zayto,ACTOR
